Timestamp,Traffic Light ID,Cars Passed
10:05:00,2,3
10:05:00,1,4
10:05:00,4,7
10:05:00,3,3
10:20:00,1,2
10:20:00,3,10
10:20:00,4,4
10:20:00,2,4
10:30:00,3,10
10:30:00,4,9
10:30:00,1,8
10:30:00,2,3
11:20:00,4,5
11:20:00,3,8
11:20:00,2,7
11:20:00,1,7
11:25:00,4,8
11:25:00,2,8
11:25:00,3,1
11:25:00,1,7
11:40:00,4,4
11:40:00,1,7
11:40:00,3,9
11:40:00,2,10
12:05:00,2,2
12:05:00,4,6
12:05:00,1,4
12:05:00,3,10
12:25:00,3,8
12:25:00,4,3
12:25:00,2,6
12:25:00,1,7
12:30:00,2,2
12:30:00,4,6
12:30:00,3,5
12:30:00,1,2
13:20:00,1,2
13:20:00,2,6
13:20:00,3,8
13:20:00,4,6
13:40:00,4,10
13:40:00,1,9
13:40:00,3,4
13:40:00,2,10
13:45:00,4,10
13:45:00,3,3
13:45:00,1,2
13:45:00,2,7
14:10:00,1,6
14:10:00,4,1
14:10:00,2,1
14:10:00,3,8
14:30:00,3,2
14:30:00,4,3
14:30:00,1,7
14:30:00,2,3
14:50:00,3,3
14:50:00,1,6
14:50:00,2,3
14:50:00,4,7
15:05:00,1,3
15:05:00,2,10
15:05:00,4,8
15:05:00,3,1
15:10:00,2,9
15:10:00,4,2
15:10:00,3,8
15:10:00,1,5
15:30:00,3,1
15:30:00,1,4
15:30:00,2,3
15:30:00,4,10
