Timestamp,Traffic Light ID,Cars Passed
10:00:00,2,10
10:00:00,3,10
10:00:00,4,8
10:05:00,1,6
10:05:00,2,4
10:05:00,3,6
10:05:00,4,1
10:10:00,1,5
10:10:00,2,10
10:10:00,3,2
10:10:00,4,2
10:15:00,1,2
10:15:00,2,3
10:15:00,3,7
10:15:00,4,7
10:20:00,1,2
10:20:00,2,2
10:20:00,3,5
10:20:00,4,3
10:25:00,1,3
10:25:00,2,5
10:25:00,3,8
10:25:00,4,1
10:30:00,1,1
10:30:00,2,1
10:30:00,3,8
10:30:00,4,4
10:35:00,1,4
10:35:00,2,7
10:35:00,3,4
10:35:00,4,6
10:40:00,1,10
10:40:00,2,5
10:40:00,3,6
10:40:00,4,7
10:45:00,1,10
10:45:00,2,9
10:45:00,3,8
10:45:00,4,2
10:50:00,1,9
10:50:00,2,9
10:50:00,3,5
10:50:00,4,4
10:55:00,1,3
10:55:00,2,9
10:55:00,3,2
10:55:00,4,5
