Timestamp,Traffic Light ID,Cars Passed
10:05:00 1 3
10:05:00,0,4
10:05:00,3,7
10:05:00,2,3
10:20:00,0,2
10:20:00,2,10
10:20:00,3,4
10:20:00,1,4
10:30:00,2,10
10:30:00,3,9
10:30:00,0,8
10:30:00,1,3
11:20:00,3,5
11:20:00,2,8
11:20:00,1,7
11:20:00,0,7
11:25:00,3,8
11:25:00,1,8
11:25:00,2,1
11:25:00,0,7
11:40:00,3,4
11:40:00,0,7
11:40:00,2,9
11:40:00,1,10
12:05:00,1,2
12:05:00,3,6
12:05:00,0,4
12:05:00,2,10
12:25:00,2,8
12:25:00,3,3
12:25:00,1,6
12:25:00,0,7
12:30:00,1,2
12:30:00,3,6
12:30:00,2,5
12:30:00,0,2
13:20:00,0,2
13:20:00,1,6
13:20:00,2,8
13:20:00,3,6
13:40:00,3,10
13:40:00,0,9
13:40:00,2,4
13:40:00,1,10
13:45:00,3,10
13:45:00,2,3
13:45:00,0,2
13:45:00,1,7
14:10:00,0,6
14:10:00,3,1
14:10:00,1,1
14:10:00,2,8
14:30:00,2,2
14:30:00,3,3
14:30:00,0,7
14:30:00,1,3
14:50:00,2,3
14:50:00,0,6
14:50:00,1,3
14:50:00,3,7
15:05:00,0,3
15:05:00,1,10
15:05:00,3,8
15:05:00,2,1
15:10:00,1,9
15:10:00,3,2
15:10:00,2,8
15:10:00,0,5
15:30:00,2,1
15:30:00,0,4
15:30:00,1,3
15:30:00,3,10
